loc,age,Income_level, car_cost,park_and_ride_cost,metro_cost,bus_cost,car_realtime,park_and_ride_realtime,metro_realtime,bus_realtime,decision
14,34,2,40,70,5,0,0,8,28,13,bus
14,52,1,30,35,5,0,0,9,24,9,metro
14,50,2,25,30,5,0,0,13,34,19,park and ride
14,44,1,35,20,0,5,20,15,5,0,bus
14,61,1,20,8,5,0,0,18,34,18,bus
14,44,2,15,7,5,0,0,14,33,18,bus
14,27,3,35,45,5,0,0,9,24,14,bus
14,54,2,40,30,10,0,0,17,32,17,park and ride
14,43,3,35,17,5,0,0,14,33,14,car
14,61,3,35,17,5,0,0,15,37,15,metro
15,52,2,50,45,5,0,0,11,28,13,bus
15,37,2,45,50,5,0,0,15,32,15,park and ride
15,52,1,55,60,5,0,0,20,33,20,car
17,20,3,35,25,0,5,25,20,5,0,car
15,46,2,35,45,5,0,0,15,30,15,park and ride
15,65,3,50,20,5,0,0,8,28,15,car
15,61,1,25,15,0,5,30,0,5,10,metro
15,38,2,40,17,5,0,0,16,33,16,park and ride
15,34,3,30,14,5,0,0,10,27,10,metro
15,50,1,30,9,0,0,0,18,30,18,car
15,51,3,30,12,0,0,0,15,31,15,car
15,55,3,40,30,0,0,0,12,31,16,car
16,67,1,25,12,5,0,0,19,35,19,metro
16,67,2,45,50,5,0,0,15,30,15,car
16,43,3,25,7,0,0,0,17,32,17,bus
16,62,2,15,10,5,0,0,19,34,19,metro
16,36,2,50,21,5,0,0,19,37,22,bus
16,64,1,55,21,5,0,0,7,22,7,park and ride
16,56,2,35,18,5,0,0,1,21,6,car
16,33,3,35,16,5,0,0,11,29,11,park and ride
16,65,3,50,20,5,1,0,20,28,20,park and ride
16,36,3,20,9,5,0,0,19,32,19,bus
16,63,1,35,17,5,0,0,10,36,10,metro
16,43,2,35,17,5,0,0,18,33,18,bus
16,34,2,50,22,10,0,0,17,33,18,bus
17,51,2,15,6,5,0,0,11,28,13,metro
17,39,1,25,9,5,0,0,11,31,16,bus
17,27,1,20,8,5,0,0,20,36,20,car
17,26,2,45,18,5,0,0,14,29,14,bus
17,52,1,50,20,5,0,0,11,23,11,car
17,49,2,20,7,3,0,0,14,27,14,car
17,44,2,45,17,5,5,0,12,23,12,bus
17,38,3,15,5,5,0,0,19,33,19,car
17,56,2,35,15,5,0,0,20,32,20,park and ride
17,34,3,25,10,5,0,0,12,27,12,car
17,49,2,50,20,5,0,0,19,34,19,bus
17,60,3,35,15,5,0,0,15,29,15,park and ride
17,48,1,50,22,5,0,0,19,35,19,park and ride
17,51,1,45,20,5,0,0,11,29,14,metro
17,28,2,35,13,5,3,0,17,31,17,park and ride
