loc,age,Income_level, car_cost,park_and_ride_cost,metro_cost,bus_cost,car_realtime,park_and_ride_realtime,metro_realtime,bus_realtime,decision
14,75,3,0,-3.25,-7.25,-8.75,-12.5,-5,0,-2.5,park and ride
14,72,3,0,-3.25,-7.75,-10.75,-10,-2.5,0,0,car
14,28,2,0,-4.25,-10.75,-10.75,-12.5,-5,0,-2.5,metro
15,46,2,0,-3.25,-7.75,-10.75,-10,-2.5,0,0,car
15,44,2,0,-4.25,-10.75,-13.25,-12.5,-5,0,-2.5,bus
15,62,2,0,-3.25,-11.75,-10.75,-20,-5,0,-2.5,park and ride
15,47,2,0,-3.25,-7.25,-10.25,-12.5,-5,0,-2.5,park and ride
15,63,2,0,-4.25,-10.75,-10.75,-12.5,-5,0,-2.5,metro
15,63,2,0,-3.25,-7.25,-9.75,-12.5,-5,0,-2.5,metro
15,56,1,0,-4.75,-10.25,-13.25,-12.5,-5,0,-2.5,bus
15,47,1,0,-5.75,-14.75,-16.25,-7.5,-1.25,-3.75,0,bus
15,52,2,0,-5.75,-14.25,-13.25,-13.75,-2.5,0,0,park and ride
15,63,2,0,-3.25,-7.25,-10.25,-12.5,-5,0,-2.5,car
15,73,2,0,-6.75,-13.25,-15.75,-10,-2.5,0,0,car
15,49,2,0,-5.75,-14.25,-13.25,-13.75,-2.5,0,0,metro
15,62,2,0,-3.25,-7.75,-11.75,-10,-2.5,0,0,park and ride
15,57,1,0,-5.75,-14.25,-13.25,-13.75,-2.5,0,0,metro
15,34,3,0,-3.25,-7.75,-9.25,-10,-2.5,0,0,car
15,59,2,0,-3.25,-7.25,-9.75,-12.5,-5,0,-2.5,metro
15,26,3,0,-4.75,-10.25,-13.25,-12.5,-5,0,-2.5,car
15,37,3,0,-5.75,-14.25,-14.25,-13.75,-2.5,0,0,car
15,25,1,0,-4.75,-10.25,-12.25,-12.5,-5,0,-2.5,bus
15,33,3,0,-6.75,-13.25,-11,-12.5,-5,0,-2.5,car
